task_type,steps,threshold,corruption_rate,enable_thresholding,enable_remasking,diffusion_bleu,baseline_bleu,bleu_delta,diffusion_rouge1,baseline_rouge1,rouge1_delta,final_masked_tokens,final_mean_confidence
denoising,3,0.6,0.6,True,False,0.1909,0.1813,0.0096,0.2636,0.2708,-0.0072,43.0,0.5386
denoising,3,0.6,0.7,True,False,0.1536,0.18,-0.0264,0.204,0.2577,-0.0537,54.0,0.4984
denoising,5,0.6,0.1,True,False,0.3733,0.3683,0.0051,0.4136,0.4084,0.0052,2.0,0.6525
denoising,5,0.6,0.3,True,False,0.3218,0.3333,-0.0116,0.3479,0.3795,-0.0316,13.0,0.6541
denoising,5,0.6,0.5,True,False,0.221,0.293,-0.072,0.2607,0.3577,-0.0971,33.0,0.5723
denoising,5,0.6,0.6,True,False,0.2173,0.2181,-0.0008,0.2591,0.2645,-0.0054,38.0,0.5545
denoising,5,0.6,0.7,True,False,0.2047,0.2042,0.0005,0.2294,0.2353,-0.0059,48.0,0.5329
denoising,10,0.6,0.1,True,False,0.362,0.3537,0.0082,0.4033,0.3997,0.0037,1.0,0.6671
denoising,10,0.6,0.3,True,False,0.2881,0.2886,-0.0005,0.3479,0.3537,-0.0059,10.0,0.6892
denoising,10,0.6,0.5,True,False,0.2093,0.205,0.0044,0.2897,0.2929,-0.0032,21.0,0.6383
denoising,10,0.6,0.6,True,False,0.178,0.1652,0.0129,0.2373,0.2247,0.0127,35.0,0.59
denoising,10,0.6,0.7,True,False,0.206,0.2233,-0.0173,0.2565,0.2953,-0.0388,44.0,0.5429
denoising,15,0.6,0.1,True,False,0.3433,0.3588,-0.0155,0.3696,0.4023,-0.0327,5.0,0.6967
denoising,15,0.6,0.3,True,False,0.3399,0.2948,0.0451,0.3734,0.3414,0.0319,10.0,0.6824
denoising,15,0.6,0.5,True,False,0.2703,0.2422,0.028,0.3054,0.3072,-0.0018,23.0,0.6302
denoising,15,0.6,0.6,True,False,0.1897,0.1758,0.0139,0.267,0.2752,-0.0082,29.0,0.6016
denoising,15,0.6,0.7,True,False,0.1499,0.1631,-0.0132,0.2143,0.2604,-0.0461,46.0,0.5245
denoising,20,0.6,0.1,True,False,0.3653,0.3624,0.0029,0.406,0.4049,0.0011,3.0,0.6622
denoising,20,0.6,0.3,True,False,0.2908,0.3072,-0.0164,0.3442,0.3631,-0.0189,12.0,0.6825
denoising,20,0.6,0.5,True,False,0.2486,0.2583,-0.0097,0.3078,0.3222,-0.0144,14.0,0.6927
denoising,20,0.6,0.6,True,False,0.1945,0.1596,0.0348,0.2588,0.2085,0.0503,28.0,0.6245
denoising,20,0.6,0.7,True,False,0.1834,0.1822,0.0012,0.2558,0.2591,-0.0033,31.0,0.6139
denoising,25,0.6,0.1,True,False,0.3489,0.3504,-0.0016,0.3955,0.3972,-0.0017,4.0,0.6979
denoising,25,0.6,0.3,True,False,0.3039,0.2953,0.0086,0.3353,0.3486,-0.0133,8.0,0.6657
denoising,25,0.6,0.5,True,False,0.2298,0.2573,-0.0274,0.2691,0.3227,-0.0536,35.0,0.5629
denoising,25,0.6,0.6,True,False,0.2078,0.1806,0.0272,0.2834,0.2821,0.0012,32.0,0.5909
denoising,25,0.6,0.7,True,False,0.157,0.1504,0.0066,0.2227,0.2402,-0.0175,51.0,0.5058
denoising,30,0.6,0.1,True,False,0.3532,0.3635,-0.0103,0.3942,0.4094,-0.0152,8.0,0.6959
denoising,30,0.6,0.3,True,False,0.2932,0.3355,-0.0423,0.3432,0.3805,-0.0372,11.0,0.6744
denoising,30,0.6,0.5,True,False,0.2519,0.2747,-0.0228,0.2983,0.337,-0.0387,21.0,0.6431
denoising,30,0.6,0.6,True,False,0.1888,0.1996,-0.0109,0.246,0.2788,-0.0328,33.0,0.5875
denoising,30,0.6,0.7,True,False,0.2088,0.1568,0.0519,0.2739,0.2137,0.0602,52.0,0.5133
denoising,65,0.6,0.1,True,False,0.3457,0.3603,-0.0146,0.3702,0.4032,-0.0329,4.0,0.682
denoising,65,0.6,0.3,True,False,0.3415,0.3428,-0.0012,0.3809,0.3856,-0.0047,11.0,0.6702
denoising,65,0.6,0.5,True,False,0.2518,0.2414,0.0104,0.2928,0.2818,0.011,21.0,0.6474
denoising,65,0.6,0.6,True,False,0.2122,0.2278,-0.0155,0.2602,0.2893,-0.0291,25.0,0.6177
denoising,65,0.6,0.7,True,False,0.1969,0.2103,-0.0133,0.2528,0.2743,-0.0215,31.0,0.6017
denoising,1,0.7,0.1,True,False,0.3093,0.3183,-0.0089,0.3644,0.3796,-0.0152,8.0,0.7096
denoising,1,0.7,0.3,True,False,0.3157,0.3447,-0.0289,0.3611,0.385,-0.0238,20.0,0.634
denoising,1,0.7,0.5,True,False,0.2329,0.2884,-0.0555,0.2665,0.3401,-0.0737,44.0,0.505
denoising,1,0.7,0.6,True,False,0.1607,0.1895,-0.0288,0.2084,0.2711,-0.0626,57.0,0.4474
denoising,1,0.7,0.7,True,False,0.1681,0.1741,-0.006,0.1904,0.2045,-0.0142,72.0,0.3504
denoising,3,0.7,0.1,True,False,0.3216,0.3214,0.0002,0.3704,0.3704,0.0,5.0,0.6709
denoising,3,0.7,0.3,True,False,0.2341,0.2649,-0.0309,0.2816,0.3323,-0.0507,15.0,0.6649
denoising,3,0.7,0.5,True,False,0.286,0.2776,0.0085,0.3369,0.3664,-0.0295,41.0,0.5461
denoising,3,0.7,0.6,True,False,0.1912,0.1982,-0.007,0.2689,0.2885,-0.0196,52.0,0.5027
denoising,3,0.7,0.7,True,False,0.2415,0.2035,0.038,0.2847,0.2592,0.0254,65.0,0.4551
denoising,5,0.7,0.1,True,False,0.3198,0.3765,-0.0567,0.379,0.4112,-0.0322,6.0,0.674
denoising,5,0.7,0.3,True,False,0.2583,0.255,0.0033,0.323,0.3263,-0.0033,15.0,0.6662
denoising,5,0.7,0.5,True,False,0.2467,0.2482,-0.0015,0.3072,0.3162,-0.0089,42.0,0.5437
denoising,5,0.7,0.6,True,False,0.1422,0.1807,-0.0385,0.1834,0.2444,-0.061,48.0,0.5153
denoising,5,0.7,0.7,True,False,0.1799,0.1712,0.0087,0.2554,0.2663,-0.011,69.0,0.4412
denoising,10,0.7,0.1,True,False,0.3451,0.3621,-0.017,0.3701,0.4053,-0.0352,2.0,0.6583
denoising,10,0.7,0.3,True,False,0.313,0.3243,-0.0112,0.3605,0.3724,-0.0119,17.0,0.6615
denoising,10,0.7,0.5,True,False,0.2069,0.2056,0.0013,0.2906,0.3007,-0.01,31.0,0.5919
denoising,10,0.7,0.6,True,False,0.2334,0.2289,0.0045,0.2852,0.2958,-0.0106,37.0,0.5781
denoising,10,0.7,0.7,True,False,0.1979,0.2239,-0.026,0.2337,0.2953,-0.0616,46.0,0.5162
denoising,15,0.7,0.1,True,False,0.4104,0.4104,0.0,0.4305,0.4305,0.0,2.0,0.6899
denoising,15,0.7,0.3,True,False,0.3181,0.3154,0.0027,0.3615,0.3702,-0.0086,20.0,0.6156
denoising,15,0.7,0.5,True,False,0.2373,0.2099,0.0274,0.2935,0.2849,0.0086,35.0,0.5853
denoising,15,0.7,0.6,True,False,0.2076,0.2066,0.0009,0.276,0.2889,-0.0129,37.0,0.5824
denoising,15,0.7,0.7,True,False,0.1692,0.1724,-0.0031,0.2331,0.249,-0.0159,56.0,0.4573
denoising,20,0.7,0.1,True,False,0.3314,0.3768,-0.0454,0.3749,0.4146,-0.0397,4.0,0.6859
denoising,20,0.7,0.3,True,False,0.3007,0.3016,-0.0009,0.3497,0.3497,-0.0,8.0,0.6726
denoising,20,0.7,0.5,True,False,0.246,0.2883,-0.0423,0.3092,0.3447,-0.0354,33.0,0.5883
denoising,20,0.7,0.6,True,False,0.204,0.1974,0.0066,0.2792,0.278,0.0012,38.0,0.5719
denoising,20,0.7,0.7,True,False,0.139,0.1511,-0.012,0.1884,0.2157,-0.0273,53.0,0.498
denoising,25,0.7,0.1,True,False,0.3344,0.3644,-0.03,0.3781,0.402,-0.0239,6.0,0.6705
denoising,25,0.7,0.3,True,False,0.2873,0.3303,-0.043,0.3374,0.3795,-0.0421,10.0,0.6699
denoising,25,0.7,0.5,True,False,0.2259,0.2289,-0.003,0.2942,0.3112,-0.0169,39.0,0.542
denoising,25,0.7,0.6,True,False,0.281,0.2048,0.0762,0.3344,0.241,0.0934,42.0,0.5567
denoising,25,0.7,0.7,True,False,0.1628,0.1758,-0.013,0.23,0.2625,-0.0325,62.0,0.4425
denoising,30,0.7,0.1,True,False,0.331,0.3512,-0.0201,0.3598,0.3977,-0.0379,5.0,0.6851
denoising,30,0.7,0.3,True,False,0.3245,0.3295,-0.0049,0.3655,0.3765,-0.011,16.0,0.6662
denoising,30,0.7,0.5,True,False,0.2597,0.2588,0.0009,0.3136,0.3174,-0.0038,27.0,0.6082
denoising,30,0.7,0.6,True,False,0.2035,0.2098,-0.0063,0.2638,0.3053,-0.0415,52.0,0.4999
denoising,30,0.7,0.7,True,False,0.1688,0.1745,-0.0056,0.2291,0.2567,-0.0276,39.0,0.5524
denoising,65,0.7,0.1,True,False,0.4304,0.4304,0.0,0.4423,0.4423,0.0,0.0,0.6639
denoising,65,0.7,0.3,True,False,0.2791,0.2863,-0.0072,0.3344,0.3407,-0.0062,15.0,0.6808
denoising,65,0.7,0.5,True,False,0.1919,0.204,-0.0121,0.2514,0.2879,-0.0365,30.0,0.6145
denoising,65,0.7,0.6,True,False,0.1736,0.1847,-0.0111,0.2496,0.2713,-0.0217,39.0,0.5741
denoising,65,0.7,0.7,True,False,0.169,0.1917,-0.0227,0.2401,0.285,-0.045,53.0,0.4953
denoising,1,0.8,0.1,True,False,0.3611,0.3595,0.0016,0.4019,0.4006,0.0013,7.0,0.6948
denoising,1,0.8,0.3,True,False,0.2762,0.3222,-0.046,0.3309,0.3565,-0.0256,22.0,0.6286
denoising,1,0.8,0.5,True,False,0.2423,0.276,-0.0337,0.2854,0.3287,-0.0434,43.0,0.5261
denoising,1,0.8,0.6,True,False,0.2187,0.2204,-0.0017,0.2756,0.2926,-0.0171,61.0,0.4356
denoising,1,0.8,0.7,True,False,0.1154,0.1444,-0.029,0.1532,0.2169,-0.0637,75.0,0.3722
denoising,3,0.8,0.1,True,False,0.41,0.41,0.0001,0.4296,0.4296,0.0,3.0,0.6806
denoising,3,0.8,0.3,True,False,0.2936,0.2973,-0.0037,0.3346,0.3615,-0.0269,17.0,0.6509
denoising,3,0.8,0.5,True,False,0.2518,0.2433,0.0086,0.3044,0.3025,0.0019,43.0,0.5698
denoising,3,0.8,0.6,True,False,0.2155,0.2192,-0.0037,0.2672,0.2721,-0.0049,59.0,0.4689
denoising,3,0.8,0.7,True,False,0.1595,0.1718,-0.0123,0.1803,0.2019,-0.0216,75.0,0.3782
denoising,5,0.8,0.1,True,False,0.31,0.3155,-0.0056,0.369,0.3775,-0.0086,8.0,0.7097
denoising,5,0.8,0.3,True,False,0.2854,0.2896,-0.0042,0.3327,0.3396,-0.0068,18.0,0.65
denoising,5,0.8,0.5,True,False,0.2163,0.2162,0.0002,0.2792,0.289,-0.0098,51.0,0.5253
denoising,5,0.8,0.6,True,False,0.1937,0.1952,-0.0015,0.2587,0.2714,-0.0127,61.0,0.4445
denoising,5,0.8,0.7,True,False,0.147,0.1654,-0.0185,0.2127,0.2586,-0.046,80.0,0.3975
denoising,10,0.8,0.1,True,False,0.3534,0.3594,-0.006,0.397,0.4029,-0.006,3.0,0.6772
denoising,10,0.8,0.3,True,False,0.3405,0.3409,-0.0003,0.3838,0.3867,-0.0029,12.0,0.6994
denoising,10,0.8,0.5,True,False,0.1916,0.1961,-0.0045,0.2681,0.2824,-0.0143,38.0,0.5535
denoising,10,0.8,0.6,True,False,0.2005,0.2145,-0.0139,0.2314,0.254,-0.0226,55.0,0.5022
denoising,10,0.8,0.7,True,False,0.1768,0.1738,0.003,0.2409,0.2653,-0.0245,72.0,0.4176
denoising,15,0.8,0.1,True,False,0.3474,0.3531,-0.0057,0.3727,0.3957,-0.023,2.0,0.6673
denoising,15,0.8,0.3,True,False,0.2933,0.3325,-0.0392,0.3415,0.3776,-0.0361,16.0,0.6579
denoising,15,0.8,0.5,True,False,0.1956,0.2215,-0.026,0.2688,0.2985,-0.0297,40.0,0.5571
denoising,15,0.8,0.6,True,False,0.168,0.1931,-0.0251,0.2099,0.2546,-0.0447,45.0,0.5528
denoising,15,0.8,0.7,True,False,0.1705,0.1927,-0.0222,0.1963,0.2298,-0.0335,69.0,0.4261
denoising,20,0.8,0.1,True,False,0.3876,0.3855,0.0021,0.415,0.415,0.0,3.0,0.6684
denoising,20,0.8,0.3,True,False,0.2839,0.2899,-0.006,0.3456,0.3571,-0.0115,15.0,0.6836
denoising,20,0.8,0.5,True,False,0.2125,0.2307,-0.0182,0.2669,0.315,-0.0482,41.0,0.551
denoising,20,0.8,0.6,True,False,0.1733,0.1639,0.0094,0.2315,0.2181,0.0134,55.0,0.4841
denoising,20,0.8,0.7,True,False,0.1779,0.2137,-0.0357,0.2439,0.3028,-0.0589,54.0,0.5078
denoising,25,0.8,0.1,True,False,0.3241,0.3668,-0.0427,0.3681,0.4069,-0.0388,6.0,0.6811
denoising,25,0.8,0.3,True,False,0.3392,0.3382,0.0009,0.3598,0.3791,-0.0192,11.0,0.691
denoising,25,0.8,0.5,True,False,0.2539,0.2553,-0.0014,0.307,0.3142,-0.0072,36.0,0.5575
denoising,25,0.8,0.6,True,False,0.1971,0.2337,-0.0365,0.2415,0.3049,-0.0633,62.0,0.4526
denoising,25,0.8,0.7,True,False,0.1815,0.2185,-0.0371,0.2167,0.2902,-0.0735,75.0,0.3882
denoising,30,0.8,0.1,True,False,0.3622,0.362,0.0002,0.4034,0.4034,0.0,5.0,0.6765
denoising,30,0.8,0.3,True,False,0.2728,0.3,-0.0272,0.3287,0.3542,-0.0255,16.0,0.6948
denoising,30,0.8,0.5,True,False,0.2442,0.2756,-0.0314,0.2982,0.3485,-0.0504,36.0,0.5549
denoising,30,0.8,0.6,True,False,0.1556,0.194,-0.0384,0.2126,0.2777,-0.0652,55.0,0.5034
denoising,30,0.8,0.7,True,False,0.1648,0.1588,0.006,0.231,0.2257,0.0053,64.0,0.4494
denoising,65,0.8,0.1,True,False,0.351,0.421,-0.07,0.3978,0.4373,-0.0395,5.0,0.6849
denoising,65,0.8,0.3,True,False,0.34,0.3383,0.0017,0.3831,0.3857,-0.0026,17.0,0.6522
denoising,65,0.8,0.5,True,False,0.2854,0.2739,0.0115,0.3331,0.3293,0.0038,35.0,0.5844
denoising,65,0.8,0.6,True,False,0.1665,0.1902,-0.0238,0.2287,0.2568,-0.0281,55.0,0.4955
denoising,65,0.8,0.7,True,False,0.1693,0.2028,-0.0335,0.2395,0.2918,-0.0523,61.0,0.4564
denoising,1,0.9,0.1,True,False,0.3484,0.3695,-0.0211,0.3703,0.4074,-0.0371,5.0,0.7109
denoising,1,0.9,0.3,True,False,0.2843,0.302,-0.0177,0.3388,0.3627,-0.0239,24.0,0.6243
denoising,1,0.9,0.5,True,False,0.2002,0.2095,-0.0092,0.2716,0.2892,-0.0177,53.0,0.485
denoising,1,0.9,0.6,True,False,0.2006,0.2132,-0.0126,0.2445,0.2604,-0.0159,63.0,0.4374
denoising,1,0.9,0.7,True,False,0.1515,0.1736,-0.022,0.2155,0.2579,-0.0425,84.0,0.3641
denoising,3,0.9,0.1,True,False,0.411,0.4203,-0.0093,0.4279,0.4369,-0.0089,4.0,0.6877
denoising,3,0.9,0.3,True,False,0.2763,0.2875,-0.0111,0.3304,0.3461,-0.0158,24.0,0.6395
denoising,3,0.9,0.5,True,False,0.1551,0.1998,-0.0448,0.2056,0.2818,-0.0762,52.0,0.5128
denoising,3,0.9,0.6,True,False,0.1438,0.1351,0.0088,0.1869,0.1996,-0.0127,62.0,0.4539
denoising,3,0.9,0.7,True,False,0.1381,0.1639,-0.0258,0.1862,0.2355,-0.0492,80.0,0.4004
denoising,5,0.9,0.1,True,False,0.3237,0.362,-0.0383,0.3699,0.4043,-0.0344,7.0,0.687
denoising,5,0.9,0.3,True,False,0.2883,0.3008,-0.0126,0.3479,0.3635,-0.0156,22.0,0.6492
denoising,5,0.9,0.5,True,False,0.2362,0.2473,-0.0111,0.2886,0.3187,-0.0301,49.0,0.5213
denoising,5,0.9,0.6,True,False,0.1768,0.1935,-0.0167,0.2187,0.2612,-0.0425,61.0,0.4664
denoising,5,0.9,0.7,True,False,0.1687,0.1825,-0.0138,0.2382,0.2629,-0.0246,69.0,0.4322
denoising,10,0.9,0.1,True,False,0.3533,0.3661,-0.0128,0.3737,0.405,-0.0312,4.0,0.6788
denoising,10,0.9,0.3,True,False,0.2496,0.2852,-0.0356,0.2907,0.3421,-0.0514,20.0,0.6581
denoising,10,0.9,0.5,True,False,0.2494,0.2752,-0.0258,0.2849,0.3335,-0.0486,46.0,0.5506
denoising,10,0.9,0.6,True,False,0.1756,0.1926,-0.017,0.1956,0.2253,-0.0296,59.0,0.4678
denoising,10,0.9,0.7,True,False,0.1897,0.2078,-0.0181,0.2562,0.3092,-0.053,72.0,0.4207
denoising,15,0.9,0.1,True,False,0.4137,0.4209,-0.0072,0.4283,0.4363,-0.0079,6.0,0.6808
denoising,15,0.9,0.3,True,False,0.3263,0.3421,-0.0157,0.3722,0.3878,-0.0155,21.0,0.6593
denoising,15,0.9,0.5,True,False,0.2727,0.3006,-0.0279,0.2923,0.3503,-0.0579,41.0,0.5339
denoising,15,0.9,0.6,True,False,0.2093,0.2338,-0.0246,0.2462,0.3023,-0.0561,50.0,0.5045
denoising,15,0.9,0.7,True,False,0.1931,0.2035,-0.0104,0.2419,0.2808,-0.0389,78.0,0.4028
denoising,20,0.9,0.1,True,False,0.3473,0.3685,-0.0212,0.3661,0.4055,-0.0395,7.0,0.6905
denoising,20,0.9,0.3,True,False,0.281,0.3115,-0.0305,0.3158,0.3638,-0.048,21.0,0.6493
denoising,20,0.9,0.5,True,False,0.1854,0.2189,-0.0335,0.2399,0.298,-0.0581,47.0,0.5326
denoising,20,0.9,0.6,True,False,0.1494,0.1977,-0.0484,0.1782,0.2854,-0.1072,56.0,0.4834
denoising,20,0.9,0.7,True,False,0.1933,0.2089,-0.0156,0.2438,0.2859,-0.0421,80.0,0.3823
denoising,25,0.9,0.1,True,False,0.3561,0.3676,-0.0115,0.4003,0.4086,-0.0082,5.0,0.7037
denoising,25,0.9,0.3,True,False,0.2633,0.2874,-0.0241,0.3094,0.3543,-0.0449,20.0,0.6539
