task_type,steps,threshold,corruption_rate,4k_diffusion_bleu,4k_baseline_bleu,4k_bleu_delta,4k_diffusion_rouge1,4k_baseline_rouge1,4k_rouge1_delta,4k_final_masked_tokens,16k_diffusion_bleu,16k_baseline_bleu,16k_bleu_delta,16k_diffusion_rouge1,16k_baseline_rouge1,16k_rouge1_delta,16k_final_masked_tokens,fullwiki_diffusion_bleu,fullwiki_baseline_bleu,fullwiki_bleu_delta,fullwiki_diffusion_rouge1,fullwiki_baseline_rouge1,fullwiki_rouge1_delta,fullwiki_final_masked_tokens,bleu_delta_gain_4k_to_16k,bleu_delta_gain_16k_to_fullwiki,bleu_delta_gain_4k_to_fullwiki
denoising,10,0.9,0.3,0.3166,0.3212,-0.0046,0.3601,0.3848,-0.0247,23.0,0.2764,0.3295,-0.0531,0.3258,0.3776,-0.0518,26.0,0.2541,0.2568,-0.0027,0.3209,0.3262,-0.0053,22.0,-0.0485,0.0504,0.0018999999999999998
denoising,10,0.8,0.1,0.3707,0.3723,-0.0016,0.4109,0.4126,-0.0017,5.0,0.3749,0.3749,0.0,0.4128,0.4128,0.0,2.0,0.3615,0.3624,-0.0009,0.4002,0.401,-0.0009,2.0,0.0016,-0.0009,0.0007000000000000001
denoising,5,0.9,0.1,0.3057,0.3139,-0.0081,0.3648,0.373,-0.0082,7.0,0.3673,0.3687,-0.0014,0.4054,0.4064,-0.001,6.0,0.3619,0.37,-0.0082,0.395,0.4065,-0.0115,7.0,0.006699999999999999,-0.0068000000000000005,-0.00010000000000000113
denoising,5,0.8,0.1,0.3569,0.3569,0.0001,0.3988,0.3968,0.002,6.0,0.4086,0.4192,-0.0106,0.4246,0.4354,-0.0108,6.0,0.3713,0.3733,-0.0019,0.4103,0.4121,-0.0019,3.0,-0.0107,0.0087,-0.002
denoising,10,0.7,0.5,0.2378,0.241,-0.0032,0.278,0.2862,-0.0082,38.0,0.2045,0.2198,-0.0153,0.2464,0.2766,-0.0302,42.0,0.1825,0.1905,-0.008,0.2364,0.2731,-0.0367,33.0,-0.0121,0.007299999999999999,-0.0048000000000000004
denoising,3,0.9,0.1,0.3598,0.3699,-0.0101,0.4011,0.4091,-0.008,4.0,0.3767,0.3562,0.0205,0.4056,0.3905,0.0151,7.0,0.4103,0.426,-0.0157,0.4269,0.4398,-0.0129,6.0,0.030600000000000002,-0.036199999999999996,-0.005599999999999999
denoising,3,0.9,0.5,0.1998,0.2089,-0.0091,0.2395,0.3005,-0.0611,50.0,0.2217,0.2952,-0.0735,0.2599,0.3313,-0.0714,46.0,0.2656,0.2863,-0.0207,0.2778,0.3375,-0.0597,48.0,-0.0644,0.0528,-0.0116
denoising,5,0.9,0.3,0.2782,0.2731,0.0051,0.3298,0.3374,-0.0075,22.0,0.3246,0.299,0.0256,0.3519,0.3515,0.0004,14.0,0.2846,0.2931,-0.0085,0.3305,0.3601,-0.0296,13.0,0.0205,-0.034100000000000005,-0.013600000000000001
denoising,3,0.8,0.5,0.1982,0.2507,-0.0525,0.2335,0.312,-0.0784,44.0,0.2452,0.2729,-0.0276,0.2857,0.3347,-0.049,43.0,0.1691,0.2358,-0.0667,0.2262,0.2762,-0.05,49.0,0.0249,-0.039099999999999996,-0.014199999999999997
denoising,1,0.9,0.1,0.3048,0.3059,-0.0011,0.3669,0.3708,-0.0038,9.0,0.416,0.4177,-0.0016,0.4319,0.4335,-0.0017,4.0,0.3429,0.3614,-0.0185,0.3868,0.4033,-0.0165,8.0,-0.0005,-0.0169,-0.0174
denoising,1,0.8,0.1,0.3187,0.3081,0.0105,0.3596,0.3678,-0.0082,8.0,0.3839,0.3832,0.0006,0.4135,0.4145,-0.001,6.0,0.4138,0.4281,-0.0143,0.431,0.4418,-0.0108,5.0,-0.0099,-0.0149,-0.024800000000000003
denoising,3,0.7,0.5,0.2047,0.201,0.0038,0.2588,0.2864,-0.0276,44.0,0.258,0.2675,-0.0095,0.2947,0.307,-0.0124,46.0,0.2731,0.3034,-0.0303,0.3025,0.3607,-0.0582,40.0,-0.0133,-0.0208,-0.0341
denoising,10,0.8,0.3,0.3009,0.2838,0.0172,0.362,0.3341,0.0279,14.0,0.2962,0.2801,0.0161,0.3423,0.334,0.0082,16.0,0.2606,0.2813,-0.0206,0.3043,0.346,-0.0417,19.0,-0.0011000000000000003,-0.036699999999999997,-0.0378
denoising,1,0.8,0.3,0.2422,0.2467,-0.0045,0.3133,0.3306,-0.0173,23.0,0.2718,0.292,-0.0202,0.3174,0.3552,-0.0378,21.0,0.299,0.345,-0.046,0.3481,0.3891,-0.041,23.0,-0.0157,-0.0258,-0.0415
denoising,3,0.7,0.1,0.35,0.3482,0.0018,0.3947,0.3977,-0.003,4.0,0.4266,0.4208,0.0057,0.4389,0.4386,0.0003,3.0,0.3144,0.356,-0.0416,0.372,0.397,-0.025,5.0,0.0039000000000000003,-0.047299999999999995,-0.0434
denoising,1,0.7,0.5,0.2068,0.1854,0.0214,0.274,0.2591,0.0149,45.0,0.2081,0.2075,0.0007,0.275,0.2977,-0.0227,45.0,0.242,0.2675,-0.0255,0.2969,0.3332,-0.0363,44.0,-0.0207,-0.026199999999999998,-0.0469
