task_type,steps,threshold,corruption_rate,enable_thresholding,enable_remasking,diffusion_bleu,baseline_bleu,bleu_delta,diffusion_rouge1,baseline_rouge1,rouge1_delta,final_masked_tokens,final_mean_confidence
denoising,15,0.6,0.5,True,False,0.2087,0.2588,-0.0501,0.2782,0.3153,-0.0371,21.0,0.6435
denoising,15,0.6,0.6,True,False,0.2036,0.1714,0.0322,0.2832,0.2646,0.0186,25.0,0.6352
denoising,20,0.6,0.1,True,False,0.3497,0.4208,-0.0711,0.3727,0.4371,-0.0645,4.0,0.6872
denoising,20,0.6,0.3,True,False,0.3522,0.3074,0.0447,0.3742,0.3397,0.0345,8.0,0.6921
denoising,20,0.6,0.5,True,False,0.2316,0.2677,-0.0361,0.3018,0.3353,-0.0335,25.0,0.6469
denoising,20,0.6,0.6,True,False,0.1754,0.179,-0.0036,0.2338,0.2449,-0.0111,27.0,0.6106
denoising,25,0.6,0.1,True,False,0.3439,0.4173,-0.0734,0.368,0.4342,-0.0662,2.0,0.6711
denoising,25,0.6,0.3,True,False,0.3433,0.3468,-0.0035,0.3881,0.3936,-0.0055,4.0,0.6768
denoising,25,0.6,0.5,True,False,0.1821,0.2096,-0.0276,0.2252,0.281,-0.0558,20.0,0.6382
denoising,25,0.6,0.6,True,False,0.1439,0.1686,-0.0247,0.184,0.235,-0.0509,24.0,0.6385
denoising,30,0.6,0.1,True,False,0.3469,0.349,-0.002,0.3888,0.3918,-0.003,4.0,0.6971
denoising,30,0.6,0.3,True,False,0.2836,0.2836,0.0,0.344,0.3508,-0.0068,13.0,0.6688
denoising,30,0.6,0.5,True,False,0.2491,0.257,-0.0079,0.2903,0.3164,-0.0261,24.0,0.633
denoising,30,0.6,0.6,True,False,0.243,0.2481,-0.0051,0.3053,0.3204,-0.0151,34.0,0.5812
denoising,65,0.6,0.1,True,False,0.3622,0.3584,0.0038,0.4047,0.4029,0.0018,2.0,0.6836
denoising,65,0.6,0.3,True,False,0.3097,0.3049,0.0048,0.3343,0.3415,-0.0073,11.0,0.6672
denoising,65,0.6,0.5,True,False,0.2089,0.2045,0.0044,0.2813,0.2861,-0.0048,20.0,0.6504
denoising,65,0.6,0.6,True,False,0.2239,0.2109,0.0129,0.2603,0.27,-0.0098,33.0,0.5951
denoising,1,0.7,0.1,True,False,0.3114,0.3193,-0.0079,0.369,0.3789,-0.0099,5.0,0.7203
denoising,1,0.7,0.3,True,False,0.3058,0.303,0.0028,0.3567,0.3487,0.008,17.0,0.65
denoising,1,0.7,0.5,True,False,0.242,0.2675,-0.0255,0.2969,0.3332,-0.0363,44.0,0.5063
denoising,1,0.7,0.6,True,False,0.1324,0.1626,-0.0303,0.1713,0.2207,-0.0495,57.0,0.4551
denoising,3,0.7,0.1,True,False,0.3144,0.356,-0.0416,0.372,0.397,-0.025,5.0,0.6899
denoising,3,0.7,0.3,True,False,0.3833,0.3931,-0.0098,0.4041,0.4162,-0.0121,12.0,0.6812
denoising,3,0.7,0.5,True,False,0.2731,0.3034,-0.0303,0.3025,0.3607,-0.0582,40.0,0.5701
denoising,3,0.7,0.6,True,False,0.1659,0.2026,-0.0367,0.2033,0.2842,-0.0809,46.0,0.554
denoising,5,0.7,0.1,True,False,0.4032,0.4147,-0.0115,0.4243,0.4326,-0.0082,3.0,0.6802
denoising,5,0.7,0.3,True,False,0.3238,0.3142,0.0096,0.353,0.3517,0.0012,15.0,0.6706
denoising,5,0.7,0.5,True,False,0.2259,0.2304,-0.0045,0.2594,0.2715,-0.0121,34.0,0.5889
denoising,5,0.7,0.6,True,False,0.1904,0.2079,-0.0175,0.2126,0.2547,-0.0421,42.0,0.5645
denoising,10,0.7,0.1,True,False,0.3988,0.3918,0.007,0.4118,0.4101,0.0017,2.0,0.685
denoising,10,0.7,0.3,True,False,0.3308,0.3229,0.0078,0.3596,0.3572,0.0024,11.0,0.6905
denoising,10,0.7,0.5,True,False,0.1825,0.1905,-0.008,0.2364,0.2731,-0.0367,33.0,0.5776
denoising,10,0.7,0.6,True,False,0.214,0.2295,-0.0154,0.2564,0.3052,-0.0488,48.0,0.5421
denoising,15,0.7,0.1,True,False,0.3414,0.4126,-0.0712,0.3678,0.4313,-0.0635,3.0,0.6745
denoising,15,0.7,0.3,True,False,0.273,0.2776,-0.0046,0.315,0.3442,-0.0292,14.0,0.6648
denoising,15,0.7,0.5,True,False,0.2347,0.242,-0.0073,0.2848,0.2947,-0.0098,39.0,0.5715
denoising,15,0.7,0.6,True,False,0.2256,0.2236,0.002,0.2748,0.2885,-0.0137,48.0,0.5319
denoising,20,0.7,0.1,True,False,0.4264,0.4278,-0.0014,0.4404,0.4421,-0.0017,2.0,0.7158
denoising,20,0.7,0.3,True,False,0.3364,0.3288,0.0076,0.3777,0.3774,0.0003,3.0,0.6845
denoising,20,0.7,0.5,True,False,0.2501,0.2612,-0.0111,0.2942,0.308,-0.0138,21.0,0.6623
denoising,20,0.7,0.6,True,False,0.1659,0.1674,-0.0015,0.2222,0.2509,-0.0286,38.0,0.5702
denoising,25,0.7,0.1,True,False,0.3459,0.3382,0.0076,0.3747,0.3752,-0.0006,3.0,0.6695
denoising,25,0.7,0.3,True,False,0.2686,0.291,-0.0223,0.3063,0.346,-0.0397,18.0,0.665
denoising,25,0.7,0.5,True,False,0.2869,0.2787,0.0082,0.31,0.3179,-0.0079,20.0,0.6244
denoising,25,0.7,0.6,True,False,0.1939,0.19,0.0039,0.2536,0.2773,-0.0238,37.0,0.5751
denoising,30,0.7,0.1,True,False,0.3044,0.3171,-0.0127,0.3667,0.3783,-0.0116,5.0,0.695
denoising,30,0.7,0.3,True,False,0.3992,0.4037,-0.0045,0.417,0.4207,-0.0037,9.0,0.6901
denoising,30,0.7,0.5,True,False,0.2201,0.2361,-0.0161,0.2659,0.3035,-0.0376,31.0,0.5924
denoising,30,0.7,0.6,True,False,0.2109,0.2438,-0.0329,0.2507,0.303,-0.0523,37.0,0.5707
denoising,65,0.7,0.1,True,False,0.3852,0.3839,0.0013,0.413,0.4147,-0.0017,3.0,0.6965
denoising,65,0.7,0.3,True,False,0.2867,0.2797,0.007,0.3501,0.35,0.0001,12.0,0.6712
denoising,65,0.7,0.5,True,False,0.2266,0.2045,0.0221,0.2947,0.2832,0.0115,22.0,0.6328
denoising,65,0.7,0.6,True,False,0.1847,0.189,-0.0043,0.2435,0.2705,-0.027,33.0,0.6042
denoising,1,0.8,0.1,True,False,0.4138,0.4281,-0.0143,0.431,0.4418,-0.0108,5.0,0.7202
