task_type,steps,threshold,corruption_rate,diffusion_bleu,baseline_bleu,bleu_delta,diffusion_rouge1,baseline_rouge1,rouge1_delta,final_masked_tokens,final_mean_confidence
denoising,25,0.6,0.5,0.2749,0.2842,-0.0093,0.3128,0.3423,-0.0296,17.0,0.6769
denoising,25,0.6,0.6,0.2075,0.2113,-0.0037,0.2912,0.2984,-0.0071,27.0,0.6349
denoising,30,0.6,0.1,0.4178,0.4151,0.0027,0.434,0.4323,0.0017,0.0,0.7077
denoising,30,0.6,0.3,0.3233,0.3335,-0.0102,0.3496,0.3793,-0.0297,17.0,0.689
denoising,30,0.6,0.5,0.2514,0.2585,-0.0071,0.3187,0.3198,-0.0011,22.0,0.6575
denoising,30,0.6,0.6,0.1725,0.1692,0.0033,0.2297,0.2395,-0.0097,25.0,0.6401
denoising,1,0.7,0.1,0.4263,0.4238,0.0026,0.4395,0.4382,0.0013,2.0,0.7349
denoising,1,0.7,0.3,0.242,0.3488,-0.1069,0.3107,0.3888,-0.0781,25.0,0.6231
denoising,1,0.7,0.5,0.2331,0.2879,-0.0548,0.2757,0.3285,-0.0528,44.0,0.5279
denoising,1,0.7,0.6,0.154,0.1893,-0.0353,0.2195,0.2834,-0.0639,63.0,0.4418
denoising,3,0.7,0.1,0.3494,0.3635,-0.0141,0.3723,0.4049,-0.0325,4.0,0.7027
denoising,3,0.7,0.3,0.3405,0.3612,-0.0207,0.3591,0.3849,-0.0257,13.0,0.7084
denoising,3,0.7,0.5,0.2626,0.3449,-0.0822,0.296,0.382,-0.086,28.0,0.6253
denoising,3,0.7,0.6,0.1682,0.1537,0.0145,0.2205,0.1957,0.0248,46.0,0.5482
denoising,5,0.7,0.1,0.3141,0.357,-0.0428,0.363,0.401,-0.0381,6.0,0.6951
denoising,5,0.7,0.3,0.2382,0.2655,-0.0273,0.3124,0.3198,-0.0073,15.0,0.6774
denoising,5,0.7,0.5,0.2604,0.2991,-0.0387,0.294,0.3599,-0.0659,47.0,0.5575
denoising,5,0.7,0.6,0.2055,0.2297,-0.0242,0.2409,0.2922,-0.0513,51.0,0.5392
denoising,10,0.7,0.1,0.3201,0.3626,-0.0424,0.3681,0.4053,-0.0372,3.0,0.6983
denoising,10,0.7,0.3,0.3355,0.3327,0.0028,0.3798,0.3805,-0.0007,13.0,0.6798
denoising,10,0.7,0.5,0.2552,0.2578,-0.0026,0.3097,0.3182,-0.0085,30.0,0.6154
denoising,10,0.7,0.6,0.1931,0.2159,-0.0229,0.269,0.278,-0.009,45.0,0.5673
denoising,15,0.7,0.1,0.3444,0.355,-0.0105,0.3707,0.3997,-0.029,2.0,0.6974
denoising,15,0.7,0.3,0.3307,0.356,-0.0253,0.3467,0.3794,-0.0327,11.0,0.6943
denoising,15,0.7,0.5,0.2543,0.2598,-0.0054,0.3213,0.3371,-0.0158,39.0,0.5738
denoising,15,0.7,0.6,0.191,0.1973,-0.0064,0.2413,0.2858,-0.0444,38.0,0.5741
denoising,20,0.7,0.1,0.3306,0.3688,-0.0381,0.3751,0.409,-0.0338,4.0,0.7031
denoising,20,0.7,0.3,0.273,0.3184,-0.0454,0.326,0.3698,-0.0438,15.0,0.686
denoising,20,0.7,0.5,0.2097,0.2536,-0.0439,0.2884,0.3105,-0.0222,23.0,0.6447
denoising,20,0.7,0.6,0.1987,0.1872,0.0115,0.2692,0.281,-0.0118,43.0,0.5537
denoising,25,0.7,0.1,0.4156,0.4189,-0.0033,0.4309,0.4332,-0.0023,4.0,0.7227
denoising,25,0.7,0.3,0.3205,0.3274,-0.0069,0.3662,0.3791,-0.0128,14.0,0.6889
denoising,25,0.7,0.5,0.245,0.2319,0.0131,0.3127,0.3222,-0.0095,33.0,0.6042
denoising,25,0.7,0.6,0.1843,0.1656,0.0187,0.2564,0.2576,-0.0012,43.0,0.5508
denoising,30,0.7,0.1,0.4213,0.4213,0.0001,0.436,0.4374,-0.0015,2.0,0.698
denoising,30,0.7,0.3,0.3121,0.3061,0.0059,0.3467,0.3416,0.005,5.0,0.6986
denoising,30,0.7,0.5,0.2995,0.2566,0.0429,0.347,0.3233,0.0237,30.0,0.6018
denoising,30,0.7,0.6,0.1673,0.1614,0.0059,0.2103,0.2214,-0.011,42.0,0.5611
denoising,1,0.8,0.1,0.3733,0.371,0.0023,0.4121,0.4124,-0.0003,2.0,0.7157
denoising,1,0.8,0.3,0.2779,0.2966,-0.0186,0.33,0.3505,-0.0204,19.0,0.6636
denoising,1,0.8,0.5,0.2801,0.2836,-0.0035,0.3319,0.3558,-0.0239,42.0,0.5582
denoising,1,0.8,0.6,0.2009,0.2258,-0.0249,0.2424,0.277,-0.0346,58.0,0.4592
denoising,3,0.8,0.1,0.4273,0.4304,-0.0031,0.4404,0.4424,-0.002,2.0,0.714
denoising,3,0.8,0.3,0.2955,0.3023,-0.0068,0.3323,0.3499,-0.0176,19.0,0.6761
denoising,3,0.8,0.5,0.1824,0.24,-0.0576,0.2462,0.3216,-0.0754,34.0,0.6008
denoising,3,0.8,0.6,0.1614,0.1526,0.0088,0.2124,0.2373,-0.0249,61.0,0.4834
denoising,5,0.8,0.1,0.3606,0.3698,-0.0091,0.4036,0.4096,-0.006,3.0,0.6933
denoising,5,0.8,0.3,0.2981,0.3371,-0.0391,0.3484,0.3816,-0.0333,12.0,0.6848
denoising,5,0.8,0.5,0.1853,0.2172,-0.0319,0.2405,0.2954,-0.0549,38.0,0.5855
denoising,5,0.8,0.6,0.2084,0.2289,-0.0206,0.2601,0.2981,-0.0381,58.0,0.4957
denoising,10,0.8,0.1,0.3523,0.3543,-0.002,0.3923,0.3943,-0.002,7.0,0.7011
denoising,10,0.8,0.3,0.3506,0.3332,0.0174,0.3865,0.3783,0.0082,19.0,0.6654
denoising,10,0.8,0.5,0.1889,0.1943,-0.0054,0.2487,0.2637,-0.015,39.0,0.5834
denoising,10,0.8,0.6,0.1671,0.1728,-0.0057,0.2376,0.2716,-0.034,57.0,0.5109
denoising,15,0.8,0.1,0.2786,0.3152,-0.0366,0.3442,0.3777,-0.0335,6.0,0.6939
denoising,15,0.8,0.3,0.2718,0.3036,-0.0317,0.311,0.3528,-0.0418,19.0,0.644
denoising,15,0.8,0.5,0.2371,0.2636,-0.0265,0.3092,0.3409,-0.0317,35.0,0.5968
denoising,15,0.8,0.6,0.2143,0.2138,0.0004,0.2738,0.3024,-0.0285,46.0,0.5492
denoising,20,0.8,0.1,0.4141,0.4235,-0.0093,0.429,0.4382,-0.0092,3.0,0.6954
denoising,20,0.8,0.3,0.3225,0.3276,-0.0051,0.3439,0.37,-0.0261,14.0,0.6933
denoising,20,0.8,0.5,0.2466,0.247,-0.0005,0.2956,0.308,-0.0123,35.0,0.6109
denoising,20,0.8,0.6,0.1323,0.1508,-0.0185,0.1828,0.2165,-0.0337,61.0,0.4683
denoising,25,0.8,0.1,0.3555,0.3598,-0.0043,0.3988,0.4022,-0.0034,6.0,0.718
denoising,25,0.8,0.3,0.3853,0.2933,0.092,0.4027,0.3455,0.0572,16.0,0.6815
denoising,25,0.8,0.5,0.2257,0.2772,-0.0515,0.2629,0.3134,-0.0505,42.0,0.5796
denoising,25,0.8,0.6,0.2191,0.2228,-0.0037,0.2758,0.2911,-0.0153,52.0,0.5136
denoising,30,0.8,0.1,0.4202,0.4228,-0.0026,0.4344,0.4381,-0.0037,7.0,0.7122
denoising,30,0.8,0.3,0.3098,0.3287,-0.0188,0.3671,0.3785,-0.0113,13.0,0.6902
denoising,30,0.8,0.5,0.2335,0.2465,-0.013,0.2845,0.307,-0.0225,42.0,0.5688
denoising,30,0.8,0.6,0.2075,0.2258,-0.0183,0.2452,0.2965,-0.0513,51.0,0.5167
denoising,1,0.9,0.1,0.3783,0.3754,0.0029,0.4173,0.4156,0.0017,5.0,0.7125
denoising,1,0.9,0.3,0.2954,0.3537,-0.0583,0.3443,0.3811,-0.0368,20.0,0.6629
denoising,1,0.9,0.5,0.2726,0.2555,0.0171,0.3204,0.3135,0.007,50.0,0.5284
denoising,1,0.9,0.6,0.1315,0.1381,-0.0067,0.161,0.1839,-0.0229,69.0,0.4472
